Areaname,STCOU,PST035195D,IPE120205D,CRM160205D
"St. Clair, MI",26147,154853,9.7,53
"St. Joseph, MI",26149,60795,13.3,11
"Sanilac, MI",26151,42532,13.5,2
"Schoolcraft, MI",26153,8737,14.4,0
"Shiawassee, MI",26155,71567,9.5,12
"Tuscola, MI",26157,57333,11.4,5
"Van Buren, MI",26159,74320,15.4,14
"Washtenaw, MI",26161,297926,13.3,273
"Wayne, MI",26163,2111313,19.7,8075
"Wexford, MI",26165,28897,13.3,1
MINNESOTA,27000,4660180,9.2,5274
"Aitkin, MN",27001,13847,14.4,0
"Anoka, MN",27003,273226,6.2,178
"Becker, MN",27005,28989,11,4
"Beltrami, MN",27007,37782,19.4,10
"Benton, MN",27009,32236,8.7,4
"Big Stone, MN",27011,6027,12.3,0
"Blue Earth, MN",27013,54958,13.1,15
"Brown, MN",27015,27131,6.7,0
"Carlton, MN",27017,30326,9.8,0
"Carver, MN",27019,59644,3.5,4
"Cass, MN",27021,24450,14.5,9
"Chippewa, MN",27023,13218,8.4,0
"Chisago, MN",27025,35909,5.6,1
"Clay, MN",27027,51438,12.9,6
"Clearwater, MN",27029,8530,15.8,1
"Cook, MN",27031,4682,9.3,0
"Cottonwood, MN",27033,12563,10.4,0
"Crow Wing, MN",27035,50437,9.1,12
"Dakota, MN",27037,319218,5.1,111
"Dodge, MN",27039,16679,5.9,3
"Douglas, MN",27041,30831,9.6,1
"Faribault, MN",27043,16522,11.3,0
"Fillmore, MN",27045,20909,10.2,0
"Freeborn, MN",27047,32541,9,1
"Goodhue, MN",27049,42573,6.6,5
"Grant, MN",27051,6306,10.1,0
"Hennepin, MN",27053,1076932,10.8,3648
"Houston, MN",27055,19270,7.5,1
"Hubbard, MN",27057,16569,10.6,1
"Isanti, MN",27059,28131,6.5,1
"Itasca, MN",27061,42856,11.8,3
"Jackson, MN",27063,11670,9.9,0
"Kanabec, MN",27065,13769,10.5,0
"Kandiyohi, MN",27067,41046,9.7,7
"Kittson, MN",27069,5522,9.8,0
"Koochiching, MN",27071,15205,13.4,2
"Lac qui Parle, MN",27073,8542,9.1,0
"Lake, MN",27075,10790,9.2,0
"Lake of the Woods, MN",27077,4431,10,0
"Le Sueur, MN",27079,24313,7.4,1
"Lincoln, MN",27081,6798,10.2,0
"Lyon, MN",27083,25517,9.8,0
"McLeod, MN",27085,33403,6.4,3
"Mahnomen, MN",27087,5216,18.2,1
"Marshall, MN",27089,10633,10.5,0
"Martin, MN",27091,22543,10.5,2
"Meeker, MN",27093,21558,8.4,3
"Mille Lacs, MN",27095,20200,10.2,1
"Morrison, MN",27097,30692,10.1,1
"Mower, MN",27099,37908,11.2,11
"Murray, MN",27101,9390,8.5,0
"Nicollet, MN",27103,29587,9.9,0
"Nobles, MN",27105,21067,12.7,4
"Norman, MN",27107,7684,11.9,0
"Olmsted, MN",27109,114410,6.6,72
"Otter Tail, MN",27111,53490,10.9,3
"Pennington, MN",27113,13459,10.1,2
"Pine, MN",27115,23379,11.2,2
"Pipestone, MN",27117,10321,10.7,0
"Polk, MN",27119,32709,12.2,1
"Pope, MN",27121,11103,10.5,0
"Ramsey, MN",27123,495857,13.1,873
"Red Lake, MN",27125,4430,10.4,0
"Redwood, MN",27127,17185,8.8,1
"Renville, MN",27129,17350,10.3,2
"Rice, MN",27131,52718,8,9
"Rock, MN",27133,9942,8.1,0
"Roseau, MN",27135,16144,6.8,0
"St. Louis, MN",27137,198611,12.8,125
"Scott, MN",27139,70987,3.4,19
"Sherburne, MN",27141,52068,4.7,12
"Sibley, MN",27143,14965,8,0
"Stearns, MN",27145,126988,9.5,33
"Steele, MN",27147,32007,6.7,5
"Stevens, MN",27149,10471,11.9,0
"Swift, MN",27151,11345,9.7,0
"Todd, MN",27153,23915,12,1
"Traverse, MN",27155,4298,14,1
"Wabasha, MN",27157,20743,7,0
"Wadena, MN",27159,13303,14.7,0
"Waseca, MN",27161,18151,9.2,0
"Washington, MN",27163,179062,3.8,44
"Watonwan, MN",27165,11856,11.3,0
"Wilkin, MN",27167,7255,8.8,0
"Winona, MN",27169,49460,14.1,5
"Wright, MN",27171,78438,5,9
"Yellow Medicine, MN",27173,11546,9.8,0
MISSISSIPPI,28000,2722659,21,2002
"Adams, MS",28001,34976,27.1,20
"Alcorn, MS",28003,33456,17.7,17
"Amite, MS",28005,13421,21.4,1
"Attala, MS",28007,19093,23.1,13
"Benton, MS",28009,7987,23.7,0
"Bolivar, MS",28011,42044,36.7,6
"Calhoun, MS",28013,15056,19.4,0
"Carroll, MS",28015,10286,18.4,0
"Chickasaw, MS",28017,19015,22.2,5
"Choctaw, MS",28019,9282,25.8,0
"Claiborne, MS",28021,11810,34.7,2
"Clarke, MS",28023,17553,20,0
"Clay, MS",28025,21803,25.2,11
"Coahoma, MS",28027,31403,40.4,2
"Copiah, MS",28029,28179,23.2,0
"Covington, MS",28031,17760,22.1,3
"DeSoto, MS",28033,84217,8.6,79
"Forrest, MS",28035,71050,27.7,73
"Franklin, MS",28037,8307,21.7,0
"George, MS",28039,17581,16.6,2
"Greene, MS",28041,11956,23.6,0
"Grenada, MS",28043,22629,21.6,24
"Hancock, MS",28045,37802,15.5,4
"Harrison, MS",28047,181553,16.1,199
"Hinds, MS",28049,252613,22,629
"Holmes, MS",28051,21380,43.8,2
"Humphreys, MS",28053,11426,38.9,6
"Issaquena, MS",28055,1995,46.4,0
"Itawamba, MS",28057,21569,15.6,5
"Jackson, MS",28059,126626,15.4,117
"Jasper, MS",28061,17413,23,2
"Jefferson, MS",28063,9237,33.6,0
"Jefferson Davis, MS",28065,14196,30.1,0
"Jones, MS",28067,63744,25,52
"Kemper, MS",28069,10438,24.8,0
"Lafayette, MS",28071,34956,20.7,5
"Lamar, MS",28073,33655,12.4,11
"Lauderdale, MS",28075,78076,20.6,90
"Lawrence, MS",28077,12780,18.9,0
"Leake, MS",28079,19850,22.5,0
"Lee, MS",28081,72246,17.5,56
"Leflore, MS",28083,37981,36.5,70
"Lincoln, MS",28085,31846,20.8,6
"Lowndes, MS",28087,61395,21,42
"Madison, MS",28089,65915,12.8,49
"Marion, MS",28091,25565,27.3,5
"Marshall, MS",28093,32706,23,12
"Monroe, MS",28095,37463,18.7,8
"Montgomery, MS",28097,12325,23.4,2
"Neshoba, MS",28099,27129,24.8,0
"Newton, MS",28101,21197,20.7,0
"Noxubee, MS",28103,12454,32.2,0
"Oktibbeha, MS",28105,40623,28.3,18
"Panola, MS",28107,32244,24.6,13
"Pearl River, MS",28109,43361,22.5,22
"Perry, MS",28111,11526,21.6,0
"Pike, MS",28113,38321,30.3,30
"Pontotoc, MS",28115,24547,14.5,0
"Prentiss, MS",28117,24276,17.3,0
"Quitman, MS",28119,10254,33.8,0
"Rankin, MS",28121,99451,9.1,34
"Scott, MS",28123,26825,19.7,8
"Sharkey, MS",28125,6886,38.4,1
"Simpson, MS",28127,26019,21.3,6
"Smith, MS",28129,15366,17.8,0
"Stone, MS",28131,12378,17.5,5
"Sunflower, MS",28133,37054,37.9,20
"Tallahatchie, MS",28135,15033,33.3,0
"Tate, MS",28137,23002,15.9,13
"Tippah, MS",28139,20431,17.3,6
"Tishomingo, MS",28141,18420,16.7,23
"Tunica, MS",28143,8661,27.7,21
"Union, MS",28145,23143,13.5,6
"Walthall, MS",28147,14827,25.5,0
"Warren, MS",28149,49174,18.4,39
"Washington, MS",28151,66024,35.8,101
"Wayne, MS",28153,20019,24.3,0
"Webster, MS",28155,10307,21.8,1
"Wilkinson, MS",28157,9775,36.8,0
"Winston, MS",28159,19966,23.1,4
"Yalobusha, MS",28161,12383,23.9,1
"Yazoo, MS",28163,25968,33.7,0
MISSOURI,29000,5378247,13.6,7168
"Adair, MO",29001,24998,24.4,2
"Andrew, MO",29003,15633,9.4,0
"Atchison, MO",29005,6898,14.1,0
"Audrain, MO",29007,24652,15.8,8
"Barry, MO",29009,31711,18.7,1
"Barton, MO",29011,11950,15.1,1
"Bates, MO",29013,15735,15.3,1
"Benton, MO",29015,15331,19.1,1
"Bollinger, MO",29017,11233,16.8,0
"Boone, MO",29019,125520,18.3,124
"Buchanan, MO",29021,84368,14.5,65
"Butler, MO",29023,40414,19.1,35
"Caldwell, MO",29025,8556,14.1,0
"Callaway, MO",29027,36347,11.1,17
"Camden, MO",29029,32408,13,8
"Cape Girardeau, MO",29031,65862,15.4,36
"Carroll, MO",29033,10439,16.9,0
"Carter, MO",29035,5786,26.7,0
"Cass, MO",29037,72731,8.7,12
"Cedar, MO",29039,13017,20.8,0
"Chariton, MO",29041,8795,14.6,0
"Christian, MO",29043,43282,9.4,7
"Clark, MO",29045,7521,16.4,0
"Clay, MO",29047,168087,7.4,453
"Clinton, MO",29049,17525,10,1
"Cole, MO",29051,68649,9.6,37
"Cooper, MO",29053,16081,12.7,2
"Crawford, MO",29055,21442,17.5,7
"Dade, MO",29057,7905,15.2,0
"Dallas, MO",29059,14602,18.1,1
"Daviess, MO",29061,7912,16.9,1
"DeKalb, MO",29063,11132,14.3,1
"Dent, MO",29065,14401,18.8,0
"Douglas, MO",29067,12551,21.1,2
"Dunklin, MO",29069,33248,27.1,12
"Franklin, MO",29071,87584,9.6,8
"Gasconade, MO",29073,14558,11.7,5
"Gentry, MO",29075,6775,13,0
"Greene, MO",29077,230869,13.2,212
"Grundy, MO",29079,10630,17.1,3
"Harrison, MO",29081,8433,18.3,1
"Henry, MO",29083,21199,17.3,6
"Hickory, MO",29085,8422,19.8,0
"Holt, MO",29087,5640,13.4,0
"Howard, MO",29089,10042,14.1,3
"Howell, MO",29091,34890,21.5,7
"Iron, MO",29093,10790,24.2,0
"Jackson, MO",29095,643866,14.1,1718
"Jasper, MO",29097,98256,16.7,95
"Jefferson, MO",29099,185003,10.2,34
"Johnson, MO",29101,46444,13.7,7
"Knox, MO",29103,4384,19.2,0
"Laclede, MO",29105,29532,16.4,4
"Lafayette, MO",29107,32093,11.4,4
"Lawrence, MO",29109,32476,14.6,4
"Lewis, MO",29111,10260,16.8,0
"Lincoln, MO",29113,33087,9.6,2
"Linn, MO",29115,13967,17.2,0
"Livingston, MO",29117,14733,16.4,3
"McDonald, MO",29119,19270,22.4,4
"Macon, MO",29121,15345,15.3,2
"Madison, MO",29123,11281,18.9,0
"Maries, MO",29125,8345,13.8,0
"Marion, MO",29127,28243,15.6,26
"Mercer, MO",29129,3978,13.9,0
"Miller, MO",29131,22327,15.4,2
"Mississippi, MO",29133,13895,27.8,9
"Moniteau, MO",29135,13589,11.5,0
"Monroe, MO",29137,8963,13,0
"Montgomery, MO",29139,11629,14.3,0
"Morgan, MO",29141,17177,17.7,2
"New Madrid, MO",29143,20706,29.6,5
"Newton, MO",29145,48499,15.7,12
"Nodaway, MO",29147,21853,15.4,0
"Oregon, MO",29149,10085,23.6,0
"Osage, MO",29151,12563,9.7,1
"Ozark, MO",29153,9197,23.7,1
"Pemiscot, MO",29155,21130,33,12
"Perry, MO",29157,17719,11.3,0
"Pettis, MO",29159,37902,15.7,21
"Phelps, MO",29161,37654,19.1,18
"Pike, MO",29163,17142,17.1,0
"Platte, MO",29165,66825,6.1,185
"Polk, MO",29167,25001,20,2
"Pulaski, MO",29169,38135,14,18
"Putnam, MO",29171,5200,18.3,0
"Ralls, MO",29173,8952,10.3,0
"Randolph, MO",29175,24315,16.7,8
"Ray, MO",29177,22104,9.3,2
"Reynolds, MO",29179,6665,22.9,0
"Ripley, MO",29181,13160,26.6,1
"St. Charles, MO",29183,246741,4.8,63
"St. Clair, MO",29185,8997,21.1,0
"Ste. Genevieve, MO",29186,16713,10.2,4
"St. Francois, MO",29187,52828,17.2,15
"St. Louis, MO",29189,1015210,8.4,796
"Saline, MO",29195,23502,14.5,1
"Schuyler, MO",29197,4272,19,0
"Scotland, MO",29199,4846,17.1,0
"Scott, MO",29201,40175,20.4,15
"Shannon, MO",29203,8072,29.2,0
"Shelby, MO",29205,6979,17,0
"Stoddard, MO",29207,29517,16.9,4
"Stone, MO",29209,25575,14,2
"Sullivan, MO",29211,6666,18.8,0
"Taney, MO",29213,33892,14.2,10
"Texas, MO",29215,22511,21.6,1
"Vernon, MO",29217,19824,19.1,4
"Warren, MO",29219,21849,9.7,1
"Washington, MO",29221,21786,25.1,1
"Wayne, MO",29223,12720,22.9,0
"Webster, MO",29225,27197,17.1,4
"Worth, MO",29227,2414,16.2,0
"Wright, MO",29229,17635,24.1,0
"St. Louis city, MO",29510,368822,26,2965
MONTANA,30000,876553,14.6,169
"Beaverhead, MT",30001,9168,16.1,0
"Big Horn, MT",30003,12215,26.8,2
"Blaine, MT",30005,7051,26.2,1
"Broadwater, MT",30007,3976,12.7,0
"Carbon, MT",30009,8953,10.9,0
"Carter, MT",30011,1441,13.2,0
"Cascade, MT",30013,82201,13.2,25
"Chouteau, MT",30015,5848,17.2,0
"Custer, MT",30017,12085,14.8,0
"Daniels, MT",30019,2168,12.9,0
"Dawson, MT",30021,9249,14,0
"Deer Lodge, MT",30023,10070,16.1,0
"Fallon, MT",30025,2983,10.1,0
"Fergus, MT",30027,12562,14.7,0
"Flathead, MT",30029,69876,12.5,8
"Gallatin, MT",30031,60644,11.8,11
"Garfield, MT",30033,1351,14.4,0
"Glacier, MT",30035,12926,27.7,0
"Golden Valley, MT",30037,992,19.6,0
"Granite, MT",30039,2687,14.7,0
"Hill, MT",30041,17440,17.1,0
"Jefferson, MT",30043,9093,9.4,0
"Judith Basin, MT",30045,2278,17.1,0
"Lake, MT",30047,24459,17.4,2
"Lewis and Clark, MT",30049,53318,11.9,12
"Liberty, MT",30051,2249,16.2,0
"Lincoln, MT",30053,18726,19.1,1
"McCone, MT",30055,2169,13.7,0
"Madison, MT",30057,6643,11.9,0
"Meagher, MT",30059,1893,16.7,0
"Mineral, MT",30061,3612,17.5,0
"Missoula, MT",30063,90413,15.2,40
"Musselshell, MT",30065,4445,18,0
"Park, MT",30067,15724,11.6,0
"Petroleum, MT",30069,512,15.9,0
"Phillips, MT",30071,5110,17.7,0
"Pondera, MT",30073,6387,19.8,0
"Powder River, MT",30075,2019,11.8,0
"Powell, MT",30077,7057,15.8,0
"Prairie, MT",30079,1308,13.4,0
"Ravalli, MT",30081,31942,14.4,0
"Richland, MT",30083,10159,13.7,0
"Roosevelt, MT",30085,10932,31.5,0
"Rosebud, MT",30087,10447,22.1,0
"Sanders, MT",30089,10019,18.2,1
"Sheridan, MT",30091,4444,13.3,0
"Silver Bow, MT",30093,34978,15.3,12
"Stillwater, MT",30095,7336,8.8,0
"Sweet Grass, MT",30097,3310,11,0
"Teton, MT",30099,6430,13.9,0
"Toole, MT",30101,5292,13.8,0
"Treasure, MT",30103,858,14.1,0
"Valley, MT",30105,8193,15.1,0
"Wheatland, MT",30107,2413,19.9,0
"Wibaux, MT",30109,1126,13.3,0
"Yellowstone, MT",30111,125373,13,54
"Yellowstone National Park, MT",30113,0,0,0
NEBRASKA,31000,1656992,11,1031
"Adams, NE",31001,30783,12.2,5
"Antelope, NE",31003,7717,12.7,0
"Arthur, NE",31005,434,12,0
"Banner, NE",31007,823,12.5,0
"Blaine, NE",31009,687,17.7,0
"Boone, NE",31011,6506,11.3,0
"Box Butte, NE",31013,12816,12.4,1
"Boyd, NE",31015,2705,13.4,0
"Brown, NE",31017,3664,13,0
"Buffalo, NE",31019,40381,11.7,4
"Burt, NE",31021,7831,10.4,0
"Butler, NE",31023,8678,8.7,0
"Cass, NE",31025,22533,6.5,1
"Cedar, NE",31027,10056,8.9,0
"Chase, NE",31029,4180,10.3,0
"Cherry, NE",31031,6340,13.1,0
"Cheyenne, NE",31033,9774,10.2,3
"Clay, NE",31035,7216,11.8,0
"Colfax, NE",31037,10107,11.3,0
"Cuming, NE",31039,10275,9.6,0
"Custer, NE",31041,12333,12.8,0
"Dakota, NE",31043,18752,12,4
"Dawes, NE",31045,9318,17.9,0
"Dawson, NE",31047,23456,11.7,2
"Deuel, NE",31049,2128,10.2,0
"Dixon, NE",31051,6310,9.7,0
"Dodge, NE",31053,35019,10.8,2
"Douglas, NE",31055,440876,12.2,709
"Dundy, NE",31057,2520,13.7,0
"Fillmore, NE",31059,6839,9.1,1
"Franklin, NE",31061,3793,12.7,0
"Frontier, NE",31063,3124,11.9,0
"Furnas, NE",31065,5618,12.4,0
"Gage, NE",31067,22883,10.3,4
"Garden, NE",31069,2339,14.7,0
"Garfield, NE",31071,2008,11.3,0
"Gosper, NE",31073,2115,7.5,0
"Grant, NE",31075,792,9.1,0
"Greeley, NE",31077,2902,14,0
"Hall, NE",31079,52115,12.3,15
"Hamilton, NE",31081,9156,7.7,0
"Harlan, NE",31083,3771,12,0
"Hayes, NE",31085,1152,13.1,0
"Hitchcock, NE",31087,3305,14.4,0
"Holt, NE",31089,12212,14.1,0
"Hooker, NE",31091,781,7.6,0
"Howard, NE",31093,6381,12,0
"Jefferson, NE",31095,8513,10.7,0
"Johnson, NE",31097,4584,9.5,0
"Kearney, NE",31099,6600,8.2,0
"Keith, NE",31101,8743,10.4,0
"Keya Paha, NE",31103,1032,18.7,0
"Kimball, NE",31105,4194,12.9,0
"Knox, NE",31107,9620,14.8,1
"Lancaster, NE",31109,234282,11,228
"Lincoln, NE",31111,33858,10.9,8
"Logan, NE",31113,805,8.8,0
"Loup, NE",31115,708,11.9,0
"McPherson, NE",31117,553,14.1,0
"Madison, NE",31119,35092,11.9,7
"Merrick, NE",31121,8318,9.1,0
"Morrill, NE",31123,5446,15.9,0
"Nance, NE",31125,4202,13.7,0
"Nemaha, NE",31127,7931,11.8,0
"Nuckolls, NE",31129,5463,11.6,0
"Otoe, NE",31131,14572,8.9,0
"Pawnee, NE",31133,3266,13.2,0
"Perkins, NE",31135,3314,12.4,0
"Phelps, NE",31137,9910,10.2,0
"Pierce, NE",31139,7876,10,0
"Platte, NE",31141,31129,8.9,6
"Polk, NE",31143,5742,7.6,0
"Red Willow, NE",31145,11451,11.4,0
"Richardson, NE",31147,9801,12.8,0
"Rock, NE",31149,1862,18.9,0
"Saline, NE",31151,13352,9,2
"Sarpy, NE",31153,111590,5.1,19
"Saunders, NE",31155,19334,6.9,3
"Scotts Bluff, NE",31157,37107,15.9,5
"Seward, NE",31159,16216,7.6,0
"Sheridan, NE",31161,6555,14.6,0
"Sherman, NE",31163,3526,12.5,0
"Sioux, NE",31165,1618,11.9,0
"Stanton, NE",31167,6396,8.1,0
"Thayer, NE",31169,6396,11.3,0
"Thomas, NE",31171,771,11.2,0
"Thurston, NE",31173,7203,23.7,0
"Valley, NE",31175,4998,14.4,0
"Washington, NE",31177,17694,6,0
"Wayne, NE",31179,9948,12.9,0
"Webster, NE",31181,4221,11.3,0
"Wheeler, NE",31183,934,14.1,0
"York, NE",31185,14762,9.5,1
NEVADA,32000,1581578,11.1,4700
"Churchill, NV",32001,21197,12.3,5
"Clark, NV",32003,1035847,11.5,4071
"Douglas, NV",32005,36121,6.6,15
"Elko, NV",32007,41363,10,16
"Esmeralda, NV",32009,1127,15.3,0
"Eureka, NV",32011,1356,11.2,0
"Humboldt, NV",32013,15183,10.8,5
"Lander, NV",32015,6107,10.9,3
"Lincoln, NV",32017,3881,16.2,0
"Lyon, NV",32019,26576,8.5,8
"Mineral, NV",32021,5956,15.7,0
"Nye, NV",32023,24139,13.5,9
"Pershing, NV",32027,4968,15.7,1
"Storey, NV",32029,2988,5.5,0
"Washoe, NV",32031,297258,10.4,539
"White Pine, NV",32033,9743,13.6,1
"Carson City city, NV",32510,47768,10.7,27
NEW HAMPSHIRE,33000,1157561,7.6,330
"Belknap, NH",33001,51991,8,11
"Carroll, NH",33003,38964,8,5
"Cheshire, NH",33005,71540,8.3,19
"Coos, NH",33007,33779,12.3,3
"Grafton, NH",33009,78941,9.7,5
"Hillsborough, NH",33011,353651,7.4,196
"Merrimack, NH",33013,126334,7.1,21
"Rockingham, NH",33015,256997,5.2,47
"Strafford, NH",33017,106290,10.7,19
"Sullivan, NH",33019,39074,10.1,4
NEW JERSEY,34000,8083242,8.7,13215
"Atlantic, NJ",34001,239212,9.4,562
"Bergen, NJ",34003,855242,5.5,368
"Burlington, NJ",34005,411890,4.9,270
"Camden, NJ",34007,509582,11.9,1101
"Cape May, NJ",34009,100405,8.6,76
"Cumberland, NJ",34011,144829,14,411
"Essex, NJ",34013,783308,14.5,3217
"Gloucester, NJ",34015,243752,6.5,178
"Hudson, NJ",34017,578889,16.2,2250
"Hunterdon, NJ",34019,114049,2.5,7
"Mercer, NJ",34021,337476,8.6,1009
"Middlesex, NJ",34023,709223,7.3,638
"Monmouth, NJ",34025,583899,6.1,415
"Morris, NJ",34027,445308,3.4,134
"Ocean, NJ",34029,471243,7.3,192
"Passaic, NJ",34031,479717,14,1050
"Salem, NJ",34033,65095,9.8,56
"Somerset, NJ",34035,267163,3.9,137
"Sussex, NJ",34037,138574,4.3,5
"Union, NJ",34039,507430,8.9,1128
"Warren, NJ",34041,96956,5.5,11
NEW MEXICO,35000,1720394,18.4,1845
"Bernalillo, NM",35001,538615,13.8,1273
"Catron, NM",35003,2897,22.5,1
"Chaves, NM",35005,61365,22.1,29
"Cibola, NM",35006,24507,24,12
"Colfax, NM",35007,14075,16.9,4
"Curry, NM",35009,48459,19.5,36
"De Baca, NM",35011,2308,19.1,0
"Dona Ana, NM",35013,161014,26.8,119
"Eddy, NM",35015,52308,19.5,17
"Grant, NM",35017,29792,19.6,11
"Guadalupe, NM",35019,4178,24.3,0
"Harding, NM",35021,903,16.5,0
"Hidalgo, NM",35023,6176,26.9,1
"Lea, NM",35025,56613,16.8,23
"Lincoln, NM",35027,15869,16.7,2
"Los Alamos, NM",35028,18750,3.3,0
"Luna, NM",35029,22740,31.7,8
"McKinley, NM",35031,70197,33.9,58
"Mora, NM",35033,4652,23,1
"Otero, NM",35035,59516,17.4,9
"Quay, NM",35037,10604,21.8,1
"Rio Arriba, NM",35039,38211,21.1,0
"Roosevelt, NM",35041,18895,24.7,0
"Sandoval, NM",35043,78818,11.5,23
"San Juan, NM",35045,101390,17.5,47
"San Miguel, NM",35047,29213,28.1,14
"Santa Fe, NM",35049,118462,12.8,79
"Sierra, NM",35051,11764,25.3,5
"Socorro, NM",35053,16664,34,1
"Taos, NM",35055,26656,19.8,9
"Torrance, NM",35057,13356,25.8,2
"Union, NM",35059,4315,20.3,0
"Valencia, NM",35061,57112,20.8,35
NEW YORK,36000,18524104,13.9,35004
"Albany, NY",36001,299725,11.9,511
"Allegany, NY",36003,51251,15.7,5
"Bronx, NY",36005,1262064,28.9,0
"Broome, NY",36007,207478,15.8,97
"Cattaraugus, NY",36009,85040,14,8
"Cayuga, NY",36011,82964,12.7,22
"Chautauqua, NY",36013,142542,16,76
"Chemung, NY",36015,93675,14.6,46
"Chenango, NY",36017,52127,12.7,3
"Clinton, NY",36019,82914,14,16
"Columbia, NY",36021,63790,10.2,6
"Cortland, NY",36023,49123,15.3,15
"Delaware, NY",36025,48638,14.2,3
"Dutchess, NY",36027,266538,7.2,212
"Erie, NY",36029,973927,13.2,1959
"Essex, NY",36031,38262,11.9,2
"Franklin, NY",36033,49965,14.9,2
"Fulton, NY",36035,55217,13.2,8
"Genesee, NY",36037,61105,9,10
"Greene, NY",36039,47187,12.9,4
"Hamilton, NY",36041,5245,10.5,0
"Herkimer, NY",36043,66711,12.7,13
"Jefferson, NY",36045,115361,14.4,33
"Kings, NY",36047,2372611,22.3,24790
"Lewis, NY",36049,27364,14.2,1
"Livingston, NY",36051,64146,13.1,5
"Madison, NY",36053,70182,11.3,11
"Monroe, NY",36055,733643,12.6,1231
"Montgomery, NY",36057,51649,15.1,3
"Nassau, NY",36059,1312950,5.4,1189
"New York, NY",36061,1514184,17.8,0
"Niagara, NY",36063,223958,11.1,319
"Oneida, NY",36065,244736,15.2,156
"Onondaga, NY",36067,470235,13.4,651
"Ontario, NY",36069,98816,6.8,24
"Orange, NY",36071,323451,10.5,329
"Orleans, NY",36073,44524,12.1,4
"Oswego, NY",36075,123972,15.9,27
"Otsego, NY",36077,61671,12.6,18
"Putnam, NY",36079,89969,3.7,25
"Queens, NY",36081,2074581,12.1,0
"Rensselaer, NY",36083,154969,11.5,93
"Richmond, NY",36085,409600,10.9,0
"Rockland, NY",36087,276649,10.3,124
"St. Lawrence, NY",36089,114317,17.2,7
"Saratoga, NY",36091,193253,6.4,22
"Schenectady, NY",36093,150355,11.9,279
"Schoharie, NY",36095,32137,12.1,1
"Schuyler, NY",36097,19128,13.1,0
"Seneca, NY",36099,32698,12.2,2
"Steuben, NY",36101,99950,13.6,16
"Suffolk, NY",36103,1361391,5.2,1157
"Sullivan, NY",36105,72379,13.1,46
"Tioga, NY",36107,52601,9.9,1
"Tompkins, NY",36109,96870,18.7,10
"Ulster, NY",36111,172362,11.5,105
"Warren, NY",36113,62271,9.7,11
"Washington, NY",36115,61225,11.4,5
"Wayne, NY",36117,92740,8.7,18
"Westchester, NY",36119,897945,8.2,1270
"Wyoming, NY",36121,43709,10.3,1
"Yates, NY",36123,24064,12.8,2
NORTH CAROLINA,37000,7344674,14.9,12426
"Alamance, NC",37001,118796,12.5,126
"Alexander, NC",37003,30496,12.6,8
"Alleghany, NC",37005,10174,19.4,0
"Anson, NC",37007,24630,23.1,25
"Ashe, NC",37009,23339,15.9,0
"Avery, NC",37011,15665,16.7,0
"Beaufort, NC",37013,43888,18.4,33
"Bertie, NC",37015,20439,24,6
"Bladen, NC",37017,30665,25.2,9
"Brunswick, NC",37019,60627,14.1,37
"Buncombe, NC",37021,192997,12.5,261
"Burke, NC",37023,83235,14.6,27
"Cabarrus, NC",37025,111484,9.6,114
"Caldwell, NC",37027,73822,14.3,20
"Camden, NC",37029,6366,8.7,1
"Carteret, NC",37031,57035,12.8,25
"Caswell, NC",37033,21790,17.5,9
"Catawba, NC",37035,129003,13.2,156
"Chatham, NC",37037,43886,11.3,19
"Cherokee, NC",37039,21980,16.4,1
"Chowan, NC",37041,14090,19.4,3
"Clay, NC",37043,7889,13.3,0
"Cleveland, NC",37045,90738,18.1,121
"Columbus, NC",37047,52177,27,68
"Craven, NC",37049,85998,13.9,72
"Cumberland, NC",37051,294091,18.1,620
"Currituck, NC",37053,16047,10,3
"Dare, NC",37055,25909,8.3,10
"Davidson, NC",37057,136679,12.6,114
"Davie, NC",37059,30366,10.8,7
"Duplin, NC",37061,44793,21.8,26
"Durham, NC",37063,202872,13.8,662
"Edgecombe, NC",37065,57001,25.9,79
"Forsyth, NC",37067,288923,14.2,654
"Franklin, NC",37069,41804,14.8,16
"Gaston, NC",37071,182916,13.7,328
"Gates, NC",37073,9957,15.5,5
"Graham, NC",37075,7710,20.2,0
"Granville, NC",37077,42281,12.8,55
"Greene, NC",37079,17260,21.2,12
"Guilford, NC",37081,387665,14.9,1059
"Halifax, NC",37083,58187,29.1,71
"Harnett, NC",37085,78353,16.3,87
"Haywood, NC",37087,50513,14.4,10
"Henderson, NC",37089,80030,11.7,49
"Hertford, NC",37091,22693,22.5,25
"Hoke, NC",37093,28452,16.8,28
"Hyde, NC",37095,5365,21.1,0
"Iredell, NC",37097,104653,11.4,101
"Jackson, NC",37099,30148,17.3,5
"Johnston, NC",37101,97914,12.3,95
"Jones, NC",37103,10104,19,3
"Lee, NC",37105,45698,15,68
"Lenoir, NC",37107,59666,20.5,76
"Lincoln, NC",37109,57757,12.3,16
"McDowell, NC",37111,38171,13.2,19
"Macon, NC",37113,26307,14,1
"Madison, NC",37115,18199,15.9,0
"Martin, NC",37117,26017,22.6,18
"Mecklenburg, NC",37119,596036,11.7,3768
"Mitchell, NC",37121,15075,16.7,0
"Montgomery, NC",37123,24932,20.7,10
"Moore, NC",37125,67692,13.3,55
"Nash, NC",37127,83507,16.7,167
"New Hanover, NC",37129,143950,12.7,347
"Northampton, NC",37131,21507,25.2,10
